aback,wstecz
enrich,wzbogacać
enrol,zapisać
ensemble,ensemble
enslave,ujarzmiać
ensue,wynikać
ensure,zapewnić
entail,pociągać za sobą
enterprise,przedsiębiorstwo
enterprising,przedsiębiorczy
entertain,bawić
enter,wchodzić
enthuse,entuzjazmować się
enthusiasm,entuzjazm
enthusiastic,entuzjastyczny
entice,wabić
entire,cały
entirety,całość
entitle,upoważniać
entity,jednostka
entomology,entomologia
entourage,otoczenie
entranced,oczarowana
entrance,wejście
entrant,uczestnik
entrench,obwarować
entrepreneur,przedsiębiorca
entropy,entropia
entry,wejście
entwine,splatać
enumerate,wyliczać
enunciate,ogłosić
envelope,koperta
envious,zazdrosny
environment,środowisko
envisage,przewidywać
envision,envision
envoy,wysłannik
envy,zazdrość
enzyme,enzym
ephemeral,efemeryczny
epic,epicki
epidemic,epidemia
epidemiology,epidemiologia
epilepsy,padaczka
episcopal,biskupi
episode,epizod
epistemology,epistemologia
epithelial,nabłonkowy
epithet,epitet
epitome,typowy przykład
epitomise,uosabiać
epoch,epoka
epsilon,epsilon
equal,równy
equate,zrównać
equation,równanie
equator,równik
equestrian,konny
equilibrium,równowaga
equipment,ekwipunek
equitable,sprawiedliwy
equity,kapitał
equivalence,równorzędność
equivalent,równowartość
equivocal,dwuznaczny
eradicate,wytępić
era,era
erase,wymazać
erect,wyprostowany
ergonomics,ergonomia
erode,erodować
erosion,erozja
erotic,erotyczny
errand,zadanie
erratic,niekonsekwentny
err,błądzić
erroneous,błędny
error,błąd
erupt,wybuchać
escalate,zwiększać
escalator,ruchome schody
escape,ucieczka
eschew,unikać
escort,eskorta
esoteric,ezoteryczny
especially,szczególnie
espionage,szpiegostwo
espouse,poślubić
esquire,tytuł grzecznościowy
essay,praca pisemna
essence,istota
essential,kluczowy
establish,ustalić
estate,osiedle
esteem,szacunek
estimate,oszacowanie
estrange,odmawiać
estuary,ujście
etch,ryć
etc,itp
eternal,wieczny
eternity,wieczność
et,et
ethanol,etanol
ethereal,eteryczny
ether,eter
ethical,etyczny
ethic,etyczny
ethics,etyka
ethnic,etniczny
ethnography,etnografia
ethos,etos
etiquette,etykieta
eucharist,eucharystia
euphemism,eufemizm
euphoria,euforia
euro,euro
euthanasia,eutanazja
evacuate,ewakuuję
evacuee,wysiedleniec
evade,uchylać się
evaluate,oceniać
evangelical,ewangelicki
evangelist,ewangelista
evaporate,odparować
evasion,uchylanie się
evasive,wykrętny
evening,wieczór
evenly,równomiernie
even,parzysty
eventually,ostatecznie
event,zdarzenie
eve,przeddzień
every,każdy
ever,zawsze
evict,eksmitować
evidence,dowód
evident,oczywisty
evil,zło
evocative,sugestywny
evoke,przywołać
evolution,ewolucja
evolve,ewoluować
ewe,owca
exacerbate,zaostrzyć
exact,dokładny
exacted,wymaganych
exaggerate,wyolbrzymiać
exalt,wywyższać
exam,egzamin
examine,zbadać
example,przykład
exasperate,zirytować
excavate,wykopać
exceed,przekraczać
excellent,świetny
excel,przewyższać
exception,wyjątek
except,z wyjątkiem
excerpt,fragment
excess,nadmiar
exchange,wymieniać się
exchequer,skarb państwa
excise,akcyza
excite,podniecać
exclaim,zawołać
exclude,wykluczać
exclusion,wykluczenie
exclusive,ekskluzywny
excommunicate,przeklinać
excrete,wydalać
excruciating,rozdzierający
excursion,wycieczka
excuse,pretekst
ex,dawny
execute,wykonać
executive,wykonawczy
executor,wykonawca
exemplar,wzór
exemplify,egzemplifikować
exempt,zwolniony
exercise,ćwiczenie
exert,wywierać
exhale,wydychać
exhaust,wydechowy
exhibit,eksponować
exhilarate,rozweselić
exhort,nawoływać
exile,wygnanie
existential,egzystencjalny
exist,istnieć
exit,wyjście
exodus,exodus
exonerate,oczyścić
exorbitant,wygórowany
exorcise,egzorcyzmować
exotic,egzotyczny
expand,rozszerzać
expanse,przestrzeń
expansion,ekspansja
expatriate,wygnaniec
expect,oczekiwać
expedient,korzystny
expedite,przyśpieszyć coś
expedition,wyprawa
expel,usunąć
expenditure,wydatek
expend,wydać
expense,koszt
expensive,kosztowny
experience,doświadczenie
experiment,eksperyment
expert,ekspert
expertise,ekspertyza
expire,wygasać
explain,wyjaśniać
explicable,wytłumaczalny
explicate,rozwijać
explicit,wyraźny
explode,eksplodować
exploit,wykorzystać
explore,badać
explosion,eksplozja
expo,expo
exponential,wykładniczy
exponent,wykładnik potęgowy
export,eksport
expose,expose
exposition,ekspozycja
expound,tłumaczyć
expressionist,ekspresjonista
express,wyrazić
expropriate,wywłaszczać
expulsion,wydalenie
exquisite,znakomity
extant,pozostały
extend,poszerzać
extension,rozbudowa
extensive,rozległy
extent,stopień
exterior,zewnętrzny
exterminate,wyniszczać
external,zewnętrzny
extinct,wyginąć
extinguish,gasić
extol,wychwalać
extort,wymusić
extract,wyciąg
extradite,ekstradować
extra,dodatkowy
extraordinary,niezwykły
extrapolate,ekstrapolować
extravagance,ekstrawagancja
extravagant,ekstrawagancki
extravaganza,ekstrawagancja
extreme,skrajny
extricate,wydobyć
extrinsic,zewnętrzny
extrovert,ekstrawertyk
exuberant,żywiołowy
exude,wydzielać
exult,unieść się radością
eyebrow,brew
eyelash,rzęsa
eye,oko
fable,bajka
fabricate,wytwarzać
fabric,tkanina
fabulous,fantastyczny
facade,fasada
facet,aspekt
face,twarz
facial,twarzowy
facilitate,ułatwiać
facility,obiekt
facsimile,podobizna
fact,fakt
faction,odłam
factor,czynnik
factory,fabryka
factual,faktyczny
faculty,wydział
fad,chwilowa moda
fade,blaknąć
fã,fa
fag,papieros
fahrenheit,fahrenheita
failure,niepowodzenie
fail,zawieść
faint,słaby
fairs,targi
fair,targi
fairway,farwater
fairy,wróżka
faith,wiara
fake,imitacja
falcon,sokół
fallacy,błąd
fallible,omylny
fall,spadek
false,fałszywy
falter,wahać się
fame,sława
familiar,znajomy
family,rodzina
famine,głód
famous,sławny
fanatic,fanatyk
fancy,fantazyjny
fanfare,fanfara
fang,kieł
fantastic,fantastyczny
fantasy,fantazja
fan,wentylator
farce,farsa
far,daleko
fare,opłata
farewell,pożegnanie
farm,gospodarstwo rolne
fart,pierdnięcie
fascinate,fascynować
fascism,faszyzm
fascist,faszystowski
fashion,moda
fasten,przymocować
fastidious,wybredny
fasts,pości
fast,szybki
fatal,fatalny
fateful,fatalny
fate,los
fat,gruby
father,ojciec
fathom,pojąć
fatigue,zmęczenie
fault,wina
fauna,fauna
favourite,ulubiony
favour,przysługa
fawn,płowy
fax,faks
fearsome,przerażający
fear,strach
feasible,wykonalny
feast,uczta
feather,pióro
feature,funkcja
feat,wyczyn
february,luty
federal,federalny
federate,federacyjny
feeble,słaby
feed,karmić
feel,czuć
fee,opłata
feign,udać
feline,koci
felled,powalony
fellow,facet
felon,zbrodniarz
female,płeć żeńska
feminine,kobiecy
feminism,feminizm
feminist,feminista
fen,bagnisko
fence,ogrodzenie
fend,zatroszczyć się
fennel,koper włoski
feral,dziki
ferment,ferment
fern,paproć
ferocious,srogi
ferocity,okrucieństwo
ferret,fretka
ferry,prom
fertile,płodny
fervent,żarliwy
fervour,zapał
fester,ropieć
festival,festiwal
festive,uroczysty
festoon,feston
fetal,płodowy
fetch,sprowadzać
fete,święto
fetish,fetysz
fetter,kajdany
fetus,płód
feudal,feudalny
feud,wojna
fever,gorączka
few,mało
fiancee,narzeczona
fiasco,fiasko
fiat,placet
fibre,błonnik
fibrosis,zwłóknienie
fickle,zmienny
fiction,fikcja
fictitious,fikcyjny
fiddle,skrzypce
fidelity,wierność
fidget,denerwować
fiduciary,powiernik
field,pole
fiend,diabeł
fierce,dziki
fiery,ognisty
fight,walka
figurative,symboliczny
figure,postać
figurine,statuetka
filament,włókno
file,plik
fillet,filet
fill,napełnić
filly,dzierlatka
film,film
filter,filtr
filth,brud
finale,finał
final,finał
finance,finanse
find,odnaleźć
fined,grzywną
finesse,impas
fine,w porządku
finger,palec
finish,koniec
finite,skończone
fin,płetwa
firearm,broń palna
firefight,strzelanina
fire,ogień
firework,sztuczne ognie
fir,jodła
firm,firma
firms,firmy
first,pierwszy
firth,zatoka
fiscal,fiskalny
fish,ryba
fissure,szczelina
fist,pięść
fit,dopasowanie
fitful,kapryśny
five,pięć
fiver,piątka
fixate,fixate
fix,naprawić
fixture,osprzęt
fizz,syczeć
flag,flaga
flagging,flagi
flagrant,rażący
flail,cep
flair,talent
flak,artyleria przeciwlotnicza
flake,płatek
flamboyant,kwiecisty
flame,płomień
flammable,zapalny
flank,skrzydło
flannel,flanela
flap,klapka
flare,migotać
flash,lampa błyskowa
flashlight,latarka
flashy,jaskrawy
flask,kolba
flat,mieszkanie
flats,mieszkania
flatter,pochlebiać
flaunt,afiszować
flavour,smak
flaw,wada
flea,pchła
fleck,pyłek
fledge,fledge
fleece,runo
fleet,flota
fleeting,przelotny
flee,uciec
flesh,ciało
flexible,elastyczne
flex,zgiąć
flicker,migotanie
flick,trzepnięcie
flight,lot
flimsy,słaby
flinch,wzdrygnąć się
fling,rzucać
flint,krzemień
flip,trzepnięcie
flirt,flirt
flit,przemknąć
float,pływak
flock,trzoda
flog,biczować
flood,powódź
floor,podłoga
flop,brzdęknięcie
flora,flora
floral,kwiatowy
florist,kwiaciarz
flotation,flotacja
flounder,flądra
flourish,zakrętas
flour,mąka
flout,lekceważyć
flower,kwiat
flow,pływ
fluctuate,oscylować
fluent,biegły
flue,przewód kominowy
fluff,puch
fluid,płyn
fluke,fuks
fluorescent,fluorescencyjny
fluoride,fluorek
flurry,poruszenie
flush,spłukać
fluster,podniecenie
flute,flet prosty
flutter,trzepotanie
flux,strumień
fly,latać
foal,źrebię
foam,piana
focal,ogniskowy
focus,skupiać
fodder,pasza
foe,wróg
fog,mgła
foil,folia
folder,teczka
fold,zagięcie
foliage,listowie
folklore,folklor
folk,ludowy
follow,podążać
folly,szaleństwo
fond,czuły
fondle,pieścić
font,czcionka
food,jedzenie
fool,oszukać
footage,nagranie
football,piłka nożna
footing,stopa
foot,stopa
forage,pasza
foray,najazd
forbid,zakazać
force,siła
for,dla
forebear,przodek
foreboding,przeczucie czegoś złego
forecast,prognoza
foreclose,wykluczać
fore,dziobowy
forefinger,palec wskazujący
forehead,czoło
foreign,obcy
foreman,majster
forensic,kryminalistycznych
foresee,przewidywać
foreshadow,zwiastować
foresight,dalekowzroczność
forestall,uprzedzać
forest,las
forfeit,utracić
forge,fałszować
forget,zapomnieć
forgive,wybacz
forgo,zrzec się
fork,widelec
forlorn,opuszczony
formal,formalny
format,format
formation,tworzenie
formative,kształtujący
former,były
form,formularz
formidable,potężny
formula,formuła
forsake,opuszczać
forte,forte
fort,fort
forthcoming,nadchodzący
forth,naprzód
forthright,szczery
fortify,ufortyfikować
fortnight,dwa tygodnie
fortress,twierdza
fortuitous,przypadkowy
fortunate,szczęśliwy
fortune,fortuna
forum,forum
forward,naprzód
fossil,skamieniałość
foster,sprzyjać
foul,faul
foundation,fundacja
founded,założony
foundered,rozbiły
foundry,odlewnia
fountain,fontanna
four,cztery
fowl,ptactwo
fox,lis
foyer,foyer
fraction,frakcja
fracture,pęknięcie
fragile,kruchy
fragment,fragment
fragrant,pachnący
frail,wątły
frame,rama
framework,struktura
franc,frank
franchise,franczyzowa
frankly,szczerze
frantic,oszalały
fraternal,braterski
fraternity,braterstwo
fraud,oszustwo
fraudulent,oszukańczy
fraught,brzemienny
fray,walka
freak,wybryk
freckle,pieg
free,darmowy
freelance,wolny zawód
freeway,droga wolna
freeze,zamrażać
freight,fracht
frenetic,szalony
frenzy,szał
frequency,częstotliwość
frequent,częsty
fresco,fresk
freshman,student pierwszego roku
fresh,świeży
fret,denerwować
friar,zakonnik
friction,tarcie
friday,piątek
friend,przyjaciel
frieze,fryz
frigate,fregata
fright,strach
frigid,lodowaty
frill,żabot
fringe,frędzle
frivolous,frywolny
frock,kitel
frog,żaba
frolic,wybryk
from,od
frond,liść paproci lub palmy
frontier,granica
front,z przodu
frost,mróz
froth,spienić
frown,marszczyć brwi
frugal,oszczędny
fruitful,owocny
fruition,urzeczywistnienie
fruit,owoc
frustrate,paraliżować
fry,smażyć
fudge,banialuki
fuel,paliwo
fugitive,zbieg
fulfil,spełnić
full,pełny
fumble,grzebanie się
fume,opar
function,funkcjonować
fundamental,fundamentalny
fund,fundusz
funeral,pogrzeb
fungus,grzyb
funk,boj
funnel,lejek
fun,zabawa
fur,futro
furious,wściekły
furnace,piec
furnish,umeblować
furniture,meble
furrow,bruzda
further,dalej
furthermore,ponadto
furtive,ukradkowy
fury,furia
fuse,bezpiecznik
fuselage,kadłub samolotu
fuss,zamieszanie
futile,daremny
future,przyszłość
fuzz,kędziory
gable,szczyt
gadget,urządzenie
gag,knebel
gain,zdobyć
gait,chód
galactic,galaktyczny
gala,gala
galaxy,galaktyka
gale,wichura
gallant,dzielny
gallery,galeria
galley,galera
gallon,galon
gallop,galop
gall,żółć
galvanize,elektryzować
gamble,hazard
game,gra
gamma,gamma
gamut,gama
gang,banda
gangster,gangster
gaol,areszt
gape,rozwarcie
gap,luka
garage,garaż
garbage,śmieci
garb,strój
garden,ogród
garish,krzykliwy
garland,girlanda
garlic,czosnek
garment,część garderoby
garner,zbierać
garnish,garnirunek
garrison,garnizon
gas,gaz
gash,blizna
gasoline,benzyna
gasp,łapanie tchu
gastric,żołądkowy
gastrointestinal,pokarmowego
gate,brama
gather,zbierać
gaudy,jaskrawy
gauge,wskaźnik
gauntlet,rękawica
gaunt,wychudzony
gauze,gaza
gay,homoseksualista
gaze,spojrzenie
gazette,gazeta
gear,koło zębate
gel,żel
gem,klejnot
gender,płeć
genealogy,genealogia
gene,gen
genera,genera
general,generał
generals,generalicja
generate,generować
generation,pokolenie
generator,generator
generous,hojny
genesis,geneza
genetic,genetyczny
genial,bródkowy
genital,płciowy
genius,geniusz
genocide,ludobójstwo
genome,genom
genre,gatunek muzyczny
genteel,dystyngowany
gentile,gentile
gentle,delikatny
gentleman,pan
gentry,szlachta
genuine,prawdziwy
genus,rodzaj
geography,geografia
geology,geologia
geometry,geometria
geophysics,geofizyka
geothermal,geotermalnych
geranium,pelargonia
geriatric,geriatryczny
germinate,kiełkować
germ,zalążek
gestate,gestate
gesture,gest
get,otrzymać
ghastly,upiorny
ghetto,getto
ghost,duch
giant,ogromny
giddy,roztrzepany
gift,prezent
gigantic,gigantyczny
giggle,chichot
gig,występ
gild,gildia
gills,skrzela
gilt,pozłacany
gimmick,sztuczka
ginger,imbir
gingerly,ostrożnie
gin,gin
giraffe,żyrafa
girl,dziewczynka
gist,sens
git,git spoko super / głupiec palant
give,dać
glacial,lodowaty
glacier,lodowiec
glad,zadowolony
glamour,przepych
glance,spojrzenie
gland,gruczoł
glare,blask
glass,szkło
glaze,glazura
gleam,blask
glean,zbierać
glee,radość
glen,dolina górska
glide,poślizg
glimmer,ogienek
glimpse,dojrzeć
glint,migotanie
glisten,błyszczeć
glitter,brokat
glitz,glitz
gloat,gloat
global,światowy
globe,glob
globule,globula
gloom,mrok
glory,chwała
gloss,połysk
glossy,lśniący
glove,rękawica
glower,glower
glow,poświata
glucose,glukoza
glue,klej
glum,ponury
glut,nadmiar
gnarled,wykrzywiony
gnaw,gryźć
goad,oścień
goal,cel
goat,koza
gobble,pożerać
goblet,czara
goblin,chochlik
god,bóg
goddam,Goddam
godfather,ojciec chrzestny
goggle,wytrzeszczać oczy
go,iść
gold,złoto
golf,golf
goodbye,do widzenia
good,dobrze
goods,dobra
goof,głupi
goo,maź
goose,gęś
gorgeous,wspaniały
gorge,wąwóz
gorilla,goryl
gospel,ewangelia
gossip,plotka
gothic,gotyk
gouge,wyżłobienie
gourmet,smakosz
governance,zarządzanie
govern,rządzić
gown,suknia
grab,chwycić
grace,wdzięk
gracious,łaskawy
grade,stopień
gradient,gradient
gradual,stopniowy
graduate,ukończyć
graffiti,graffiti
graft,zaszczepić
grail,graal
grain,ziarno
gram,gram
grammar,gramatyka
grammatical,gramatyczny
grandeur,wielkość
grandfather,dziadek
grandiose,wspaniały
grandstand,główna trybuna
grand,wielki
granite,granit
granny,babunia
grant,dotacja
granulate,granulować
granule,granulka
grapefruit,grejpfrut
grape,winogrono
graphic,graficzny
graphite,grafit
graph,wykres
grapple,borykać się
grasp,chwycić
grass,trawa
grateful,wdzięczny
grate,ruszt
gratify,zaspokoić
gratitude,wdzięczność
gratuitous,darmowy
gravely,uroczyście
gravel,żwir
grave,mogiła
gravity,powaga
gravy,sos
graze,wypasać
grease,smar
great,świetny
greed,chciwość
greenery,zieleń
greenhouse,szklarnia
green,zielony
greet,powitać
gregarious,towarzyski
grenade,granat
grey,szary
grid,krata
grief,smutek
grievance,skarga
grieve,smucić
grievous,ciężki
grille,krata
grill,grill
grimace,grymas
grime,brud
grim,ponury
grind,szlifować
grin,szeroki uśmiech
gripe,narzekać
grip,uchwyt
grisly,przerażający
grit,piasek
grizzly,siwy
groan,jęk
grocer,właściciel sklepu spożywczego
groin,pachwina
groom,pan młody
groove,rowek
grope,iść po omacku
gross,obrzydliwy
grotesque,groteskowy
grotto,grota
ground,ziemia
group,grupa
grouse,pardwa
grove,gaj
growl,warczeć
grow,rosnąć
grubby,brudny
grub,żarcie
grudge,uraza
gruelling,wyczerpujący
gruesome,makabryczny
gruff,gburowaty
grumble,narzekać
grumpy,gderliwy
grunt,chrząknięcie
guarantee,gwarancja
guarantor,gwarant
guardian,opiekun
guard,strzec
gubernatorial,gubernatorski
guerilla,guerilla
guess,odgadnąć
guest,gość
guideline,wytyczne
guide,przewodnik
guild,gildia
guillotine,gilotyna
guilty,winny
guinea,gwinea
guise,przebranie
guitar,gitara
gulf,zatoka
gull,frajer
gullible,łatwowierny
gully,wąwóz
gulp,łyk
gum,guma
gun,pistolet
gurgle,bulgot
guru,guru
gush,wytrysk
gust,poryw
gut,jelito
gutter,rynna
guy,chłopak
gymnasium,gimnazjum
gymnastics,gimnastyka
gypsy,cygański
habitation,mieszkanie
habitat,siedlisko
habit,nawyk
habitual,zwykły
habituate,przyzwyczaić
hack,włamać się
haemoglobin,hemoglobina
haemorrhage,krwotok
haggle,targować się
hail,grad
hair,włosy
half,pół
hallmark,piętno
halloween,halloween
hallow,święcić
hall,sala
hallucinate,halucynacje
halo,aureola
halt,postój
halve,przepoławiać
hamburger,hamburger
hamlet,mała wioska
hammer,młotek
hammock,hamak
hamper,utrudniać
hamster,chomik
hamstring,ścięgno udowe
ham,szynka
handbook,podręcznik
handcuff,kajdanki
hand,dłoń
handicap,upośledzenie
handkerchief,chusteczka
handle,uchwyt
handset,słuchawka
handsome,przystojny
handy,poręczny
hangar,hangar
hangover,kac
hang,powiesić
haphazard,bezplanowo
hapless,nieszczęśliwy
happen,zdarzyć
happy,szczęśliwy
harass,nękać
harbor,port
hard,ciężko
hardcore,hardcore
hardline,hardline
hardly,ledwie
hardware,sprzęt komputerowy
hardy,wytrzymały
harem,harem
hare,zając
hark,słuchać uważnie
harmonic,harmoniczny
harmonise,zharmonizować
harmony,harmonia
harm,zaszkodzić
harness,uprząż
harp,harfa
harrow,brona
harsh,szorstki
harvest,żniwa
hash,haszysz
hassle,kłopot
haste,pośpiech
hatch,właz
hate,nienawidzić
hat,kapelusz
hatred,nienawiść
haughty,wyniosły
haul,zaciąg
haunt,nawiedzać
have,mieć
havens,raje
havoc,spustoszenie
hawking,hawking
hawk,jastrząb
hay,siano
hazard,zaryzykować
hazel,Leszczyna
haze,mgła
hazy,mglisty
header,nagłówek
head,głowa
headhunt,headhunt
headland,cypel
headlight,reflektor
headlong,na oślep
headquarters,główna siedziba
headway,postępy
heady,mocny
health,zdrowie
heal,uzdrowić
heap,sterta
hearsay,pogłoska
hear,słyszeć
hearth,ognisko
heart,serce
hearty,serdeczny
heat,ciepło
heathen,pogański
heather,wrzos
heath,wrzosowisko
heave,falowanie
heaven,niebo
heavy,ciężki
heckle,nękać kłopotliwymi pytaniami
hectare,hektar
hectic,gorączkowy
hedgehog,jeż
hedge,żywopłot
hedonist,hedonista
heed,zwracać uwagę
heel,obcas
hefty,mocny
hegemony,hegemonia
heighten,podnieść
height,wysokość
heir,dziedzic
heirloom,scheda
helicopter,śmigłowiec
helium,hel
helix,spirala
hello,cześć
hell,piekło
helmet,kask
helm,hełm
help,wsparcie
hem,brzeg
hemisphere,półkula
hemp,konopie
henceforth,odtąd
hence,w związku z tym
hen,kura
he,on
hepatic,wątrobiany
hepatitis,zapalenie wątroby
herald,zwiastować
herbicide,herbicyd
herb,ziele
herd,stado
hereafter,w dalszej części
hereby,niniejszym
hereditary,dziedziczny
herein,tutaj
heresy,herezja
heretic,heretyk
here,tutaj
heritage,dziedzictwo
hermeneutic,hermeneutyka
hermit,pustelnik
hernia,przepuklina
hero,bohater
heroine,bohaterka
heroin,heroina
heron,czapla
herpes,opryszczka
herring,śledź
hertz,herc
hesitant,niezdecydowany
hesitate,wahać się
heterogeneous,heterogeniczny
heterosexual,heteroseksualny
hexagon,sześciokąt
heyday,szczyt
hiatus,hiatus
hibernate,hibernować
hiccup,czkawka
hideous,ohydny
hide,ukryć
hierarchy,hierarchia
highland,średniogórze
highlight,atrakcja
highness,wygórowanie
highway,autostrada
high,wysoki
hijack,uprowadzać
hike,wycieczka
hilarious,wesoły
hill,wzgórze
hilt,rękojeść
hinder,utrudniać
hind,łania
hinge,zawias
hinterland,głąb kraju
hint,wskazówka
hip,cześć p
hippy,hippy
hire,zatrudnić
hispanic,hiszpanie
hiss,syk
histamine,histamina
histology,histologii
history,historia
hitch,zaczep
hitherto,dotychczas
hit,trafienie
hive,ul
hoard,skarb
hoarse,ochrypły
hoax,oszustwo
hobble,kuśtykać
hobby,hobby
hockey,hokej
hoe,motyka
hog,wieprz
hoist,wciągnik
hold,utrzymać
hole,otwór
holiday,wakacje
holistic,holistyczne
holler,wykrzykiwać
hollow,wydrążony
holly,ostrokrzew
holster,kabura
holy,święty
homage,hołd
home,dom
homely,przytulny
homestead,gospodarstwo rolne
homicide,zabójstwo
homoeopathy,homeopatia
homogeneity,jednorodność
homogeneous,jednorodny
homology,homologii
homophobia,homofobia
homosexual,homoseksualista
hone,brus
honest,szczery
honey,kochanie
honeymoon,miesiąc miodowy
honk,dźwięk klaksonu
honour,zaszczyt
hood,kaptur
hoof,kopyto
hooker,prostytutka
hook,hak
hooligan,chuligan
hoop,obręcz
hooray,hura
hoot,trąbienie
hoover,odkurzacz
hop,chmiel
hope,nadzieja
hopper,zbiornik
horde,horda
horizon,horyzont
horizontal,poziomy
hormone,hormon
hornet,szerszeń
horn,róg
horrendous,przerażające
horrible,straszny
horrid,okropny
horrific,przerażający
horrified,przerażony
horror,przerażenie
horse,koń
horticulture,ogrodnictwo
hose,wąż gumowy
hospice,hospicjum
hospitable,gościnny
hospitality,gościnność
hospital,szpital
hostage,zakładnik
hostel,schronisko
host,gospodarz
hostile,wrogi
hotel,hotel
hot,gorąco
hotline,hotline
hound,pies
hour,godzina
house,dom
household,gospodarstwo domowe
hover,unosić się
however,jednak
howl,wycie
how,w jaki sposób
hub,centrum
huddle,nagromadzenie
hue,odcień
huff,irytacja
huge,olbrzymi
hug,przytulić
hulk,ponton
hull,kadłub
human,człowiek
humane,humanitarny
humanitarian,humanitarny
humanities,humanistyka
humble,pokorny
humid,wilgotny
humiliate,poniżyć
humility,pokora
humour,humor
hump,garb
hum,szum
hunch,przeczucie
hundred,sto
hunger,głód
hunk,przystojniak
hunt,polowanie
hurdle,przeszkoda
hurl,ciskać
hurricane,huragan
hurry,pośpiech
hurt,ból
hurtle,pędzić
husband,mąż
hush,cicho
husk,łuska
husky,ochrypły
hustle,pośpiech
hut,chata
hybrid,hybrydowy
hydrate,hydrat
hydraulic,hydrauliczny
hydrocarbon,węglowodór
hydroelectric,hydroelektryczny
hydrogen,wodór
hygiene,higiena
hymn,hymn
hyperactive,nadpobudliwe
hyperbole,hiperbola
hypertension,nadciśnienie
hype,szum
hypnosis,hipnoza
hypnotic,hipnotyczny
hypnotise,hypnotise
hypocrisy,hipokryzja
hypocrite,hipokryta
hypothesis,hipoteza
hypothetical,hipotetyczny
hysteria,histeria
hysterical,histeryczny
ibid,ibid
iceberg,góra lodowa
ice,lód
icing,lukier
icon,ikona
iconography,ikonografia
id,dowód osobisty / karta identyfikacyjna
ideal,ideał
idealistic,idealistyczny
idea,pomysł
identical,identyczny
identify,zidentyfikować
ideological,ideologiczny
ideology,ideologia
idiom,idiom
idiosyncratic,idiosynkratyczny
idiot,idiota
idle,bezczynny
idol,idol
idyllic,idylliczny
if,gdyby
ignite,zapalać
ignorance,ignorancja
ignorant,nieświadomy
ignore,ignorować
i,ja
ill,chory
illicit,nielegalny
illuminate,oświetlać
illusion,iluzja
illusory,iluzoryczny
illustrate,zilustrować
illustrious,znakomity
image,wizerunek
imagine,wyobrażać sobie
imam,imam
imbue,przefarbować
imitate,naśladować
immaculate,nieskazitelny
immaterial,niematerialny
immediate,natychmiastowy
immense,ogromny
immerse,zanurzać
immigrant,imigrant
immigrate,imigrować
imminent,bliski
immobilize,unieruchamiać
immoral,niemoralny
immune,odporny
immunology,immunologia
impact,wpływ
impair,osłabiać
impart,dodawać
impasse,impas
impassioned,namiętny
impassive,niewzruszony
impatient,niecierpliwy
imp,chochlik
impeach,zakwestionować
impeccable,bez zarzutu
impedance,impedancja
impede,utrudniać
impediment,utrudnienie
impel,pobudzać
impending,bliski
impenetrable,niedostępny
imperative,tryb rozkazujący
imperial,cesarski
imperious,władczy
impersonal,bezosobowy
impersonate,podszywać się
impervious,nieprzepuszczalny
impetus,impet
impinge,kolidować
implacable,nieubłagany
implant,wszczepiać
implement,wprowadzić w życie
implicate,wplątać
implicit,domniemany
implore,błagać
imply,sugerować
importance,znaczenie
important,ważny
import,import
impose,narzucać
impotence,impotencja
impoverish,zubożyć
impregnate,impregnować
impress,imponować
impressionist,impresjonista
impression,wrażenie
imprint,odcisk
impromptu,zaimprowizowany
improve,ulepszać
improvise,improwizować
impulse,impuls
impunity,bezkarność
impute,przypisać
inadvertent,nieumyślny
inaugural,inauguracyjny
inaugurate,zainaugurować
incandescent,rozżarzony
incapacitate,ubezwłasnowolnić
incarcerate,uwięzić
incarnate,wcielony
incense,kadzidło
incentive,zachęta
inception,początek
incessant,nieustanny
incest,kazirodztwo
inch,cal
incidence,zakres
incidental,przypadkowy
incident,incydent
incinerate,palić
incipient,w początkowym stadium
incise,naciąć
incite,nawoływać
incline,skłonić
include,zawierać
inclusion,włączenie
inclusive,włącznie
income,dochód
incomprehensible,niezrozumiały
incongruous,absurdalny
inconsistency,niezgodność
incontinent,niepowściągliwy
incorporate,włączać
increase,zwiększać
incredible,niesamowite
incredulous,niedowierzający
increment,przyrost
incriminate,obwiniać
incubate,wysiadywać jaja
inculcate,wpajać
incumbent,beneficjant
incur,ponieść
incursion,najazd
indebted,wdzięczny
indecision,niezdecydowanie
indeed,w rzeczy samej
indelible,niezatarty
indemnity,odszkodowanie
indent,akapit
independence,niezależność
independent,niezależny
index,indeks
indicate,wskazać
indict,oskarżać
indie,indie
indifferent,obojętny
indigenous,rodzimy
indignant,oburzony
indignity,poniżenie
indigo,indygo
indirect,pośredni
indispensable,niezbędny
indisputable,niezaprzeczalny
individual,indywidualny
indoctrinate,indoktrynować
induce,spowodować
induct,wprowadzać
indulge,pobłażać
industrious,pracowity
industry,przemysł
ineffectual,nieudolny
inept,niedorzeczny
inertia,bezwładność
inert,obojętny
inescapable,nieunikniony
inevitable,nieunikniony
inexorable,nieubłagany
inextricable,nierozwikłany
infamous,niesławny
infant,dziecko
infantry,piechota
infarct,zawał
infatuate,rozkochać
infect,infekować
inferior,gorszy
inferno,piekło
infer,wywnioskować
infest,panować
infiltrate,infiltrować
infinite,nieskończony
infinitive,bezokolicznik
infinity,nieskończoność
infirmary,szpital
infirm,niedołężny
inflame,rozpalać
inflate,nadmuchać
